,아이디,댓글 내용
206,  J H,ㅋㅋㅋㅋㅋ 강마에도 아니고 ㅋㅋㅋ
207,  이옌,ㄹㅇ 강마였어가지고 편집 실순가 했는데 찐이었네지금은 강마리로 수정됨
208,  쾨히,난 이직도 강마 라고뜸
209,  끼약, @De mag  수정된거에요! 원래 강마였어영ㅋㅋ
210,  푸우 유튜브,와 나 다시 봤는데 강마에서 강마리로 수정 됐네
211,  지민,이런 조합은 상상도 못했음....수련찡 너무 예쁘고마리찡 없었으면 펜하 항상 19금 걸릴듯
212,  아가,마자요유ㅠㅠ
213,  됴됴복숭아,맞아요ㅠㅜㅜㅜ
214,  김말랑,ㅋㅋㅋㅋㅋㅋㅋㄹㅇ 강마리 없으며 ㄴ 호러물임 ㅠ
215,  지민, @김말랑  근데 또 강마리만 있으면 안되고단발좌도 같이있어야됨.ㅋㅋㅋㅋ
216,  파워 PoweR, @지민  설마....쐉아씌..?
217,  지민, @파워 PoweR  오!! 넵><
218,  내프사 뭐게?힌트 먹을수있는거임, @지민  단발좤ㅋㅋㅋㅋㅋㅋㅋ
219,  지민, @내프사 뭐게?힌트 먹을수있는거임  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
220,  윤윤,진짜 여자끼고 노는거 대놓고 드라마에 안나왔으면 좋겠다 ㅠㅠ
221,  love Chloe,진짜 불편... 여자고르는 장면까지 나오고 선넘음.
222,  김현우,몰카에 살인에 불륜도 나오는데 못나올게 뭐있나요드라마는 드라마로만ㅋㅋㅋㅋㅋ드라마에서 불편하려면 끝도 없어요
223,  장우영,"그니까 19세라고 나와있잖아. 불륜, 살인 등 나올거 다나오는데 호들갑들 떨기는..."
224,  장우영,그냥 불편러들임. 지들 보고싶은것들만 보고싶으면 아예 보지를 말아야지.
225,  [BLINK]유 진,"그래서 19금이잖아 ,, 불편하면 님들이 안보면 안되는거 아니가욫ㅊ"
226,  ᄋᄋ,ㅁㅈ 드러워
227,  기뭐링,ㅈㄴ볼때마다 우엑임 ㅜㅜ
228,  망고,저런 실태가 있는건 사실이에요 매체에서 안보면 그게 현실에서 사라지나요? 저게 그리고 여자끼고 놀으라고 부추기는 걸로 보여요? 악역 모습 표현하고 있는데;; 19금 드라마를 얼마나 더 검열하려고 하세요 북한도아니고
229,  읁 ᅩ,어린것들이 지가 골라보고 뭐라하는거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쟤네도 돈버는건데 왜? 현실은 안저러는줄 아는듯~
230,  이다행,현실성있어서 개좋은데
231,  주연,15:08 여기 너무 예뻐서 소리 지른 사람 나밖에 없어?
232,  핳,여기있어
233,  카카진,아 진짜 주단태도 ㅂㅅ인게 나 같으면 심수련 같은 와이프 있으면 하루에 천만번 사랑해줬다 ㄹㅇ 맨날 맨날 했을거임
234,  지아언니가 나라세워,퀸수련… 당신은 나의 빛이야…..얼른 주단탱하고 천서진 복수해줘….석경이도 구해줘…..
235,  새하[여니],석경이도 제대로 벌주고
236,  제냥, @새하[여니]  맞아요..
237,  Jun Oh,석경이도 참교육 ㅈ나 당해야지
238,  ᄋᄋᄋ,석경은 좀.... 퀸수련...석경이 구하지말고 제발 그대로 기도원에서 맞으면서 살게 내버려둬
239,  장우영,이제 자기 친딸인거 알았으니 기도원가서 맞짱 뜨러간다.
240,  라랄랄13,13:14 골드바는 그냥 드세요 이부분 왤케 좋지
241,  ❤,오윤희가 나애교처럼 사이다 날리면서 살리니까 실천하는 우리 수련심 너무 좋아 ㅠㅠㅠ 우리 로건리가 산거 알면 얼마나 좋아할까. .
242,  송아진,8시간전 ☆v^v☆
243,  ya c,ㅇㅈ
244,  Yona son,ㅏㅏㅏㅑㅔㅑㅔ
245,  미분이귀욤,불법으로 채택한 증거는 쓸수 없다고 수많은 드라마에서 나왔는데…. 펜하는 개연성은 역시 스킵하고 막장만 추구하는구나 ㅋㅋ
246,  황수인,저건 자기가 증거를 찍었다는 뉘앙스가 아니라 업소에서 불법카메라가 나왔으니 확인해달라 하면서 자연스럽게 낸거잖아요
247,  미분이귀욤,"@황수인 심수현이 불법이라는 증거가 있다는게 아니고, 녹음이나 영상파일은 쌍방의 동의가 사전에 있거나 녹음한 당사자가 직접 등장하는 등 출처가 분명하지 않으면 그걸 증거로 수사할수가 없다는 뜻이에요. 심수련이 가져다줘서 불법 녹취에 대한 수사는 시작할 수는 있지만 저걸 비리수사에 증거로 쓸수는 없겠죠"
