,아이디,댓글 내용
128,  YH Kim,뮤지션들이 진정 즐기며 노래할 때 그 감동이 모두에게 전해지는 것 같네요. 무대에서 노래하는 모습이 가장 멋있고 행복해보이는 세사람. 들을 수 있고 즐길 수 있는 노래 들려주어 정말 고맙습니다. 이렇게 가수들이 제대로 노래할 수 있는 무대가 많이 있었음 하는 바람입니다.정말 멋있었습니다. 응원합니다.
129,  young Ss,노래를 정말 즐기는게 전해지니감동이 감동이 ~~
130,  축브TV,아주 나이스~~~~ WOW
131,  해바라기,정말 최고의 보컬들이다.
132,  송희,..아이돌만 보다 이런무대보니 역시 내정서엔 이게 맞어. .자주 나오시길 바래요~~sg워너비  나이스!  신곡도 좋다..
133,  hyojin s,90s 만세
134,  혜비니,살안빼도 멋있어요 목소리가 보물인 sg워너비니까요~ 용준오빠 미성에 또 설레여요~
135,  정수진,저도 넘 설레어 요기서 나갈수가 없네요~~ㅠㅠ
136,  레알마드리드,김용준 노래 진짜 잘하시네
137,  돌체콜드브루,진짜 잘해요~ 너무 좋아요~~
138,  Justin Kang,바쁘신 분들은 0:00부터 보시면 됩니다.
139,  박진아,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
140,  강수지,ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
141,  김푸효효,너무 감사해요🤣
142,  A A,덕분에 편하게 봤네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
143,  착하게 살기로다짐했습니다.,많이 바빴는데 감사합니다
144,  영어싫어,감사합니다 시간을 절약했네요!
145,  in joo hwang,정말 이 그룹은 최고다. .
146,  룰루H,하나같이 다 명곡이네ㅠㅠㅠ 이번 신곡은 왜 이렇게 좋응거야ㅠㅠ 듣다 울컥해서 눈물 왈라라가로가ㅏ가구ㅠㅠ
147,  김정순,넌 좋은 사람 노래가 따뜻하네요^^
148,  햅삐,진짜 너무 좋다. 사랑해요!!!!💗👍🏻
149,  김찬우,골프치고 까무잡잡하던 용준이형가고 하얗게 분칠한 용준오빠 오셨네
150,  Kevin Junior,ㅎㅎㅎ 미성장인 김용준 등판....
151,  정현숙,무대매너 단정반듯 어쩜그리 멋지신지요^^손제스처도 단정하고많이 사랑합니다♥
152,  쇳소리를 들으면 짖는 개,ㅋㅋㅋㅋ화장진한것도 넘 좋음ㅜㅜㅜㅜ
153,  healingk,김용준 나이스♡♡♡♡♡
154,  SweetSori,"Hangout with Yoo production team, i would like to send my gratitude, that you had invited SG Wannabe 2 times to the show and it means a lot for fans... But, can we have another request? I heard that SG Wannabe members also performed MSG Wannabe songs during the MSG Wannabe concert filming, but it wasn't aired last week, could you please release it as unreleased videos on this YouTube channel? Thank you so much in advance!"
155,  러블리,16:25 내가 1일 50회이상 들을 좌표. 용리더 아름다운 미성  아끼지 말고 평생 노래해주세요 갓스지워너비
156,  리슨,그동ㅈ안  역주행 곡들 많이 나왔었지만  sg워너비는 뭔가 특별하다... 감동이 있고 노래에 진심이 보여 듣는이로 하여금 심금을 울리네... 선한 세  남자가 모여 팀을 이루고 욕심없이 서로 배려하며  하모니를 이루니  아름다운  명곡들이 줄줄이  쏟아지는구나정말 요즘같이 힘든시기에 노래로 이렇게 위로를 받으며 노래로 즐거움을 줄 수 있는 가수가 있다는게 넘 뿌듯하다Sg워너비 영원히 흥해라!!!
157,  루헤이,"난 진호오빠가 해바라기 마지막에 가성 부르는게 왜케 좋냐..,,난 석훈오빠가 온 힘을 다해 진성으로 고음지르는게 왜케 좋냐..,,난 용준오빠가 눈 감고 감미롭게 노래 부르는게 왜케 좋냐..,,미치겠네"
158,  사이렌,형님 여기서 이러시면 안됩니다.
159,  남자,덜 ~~~~~ 렁
160,  김유리,용준오빠 골프채 안잡고 마이크 잡고 있으니까 최고다! 파워풀한 미성 끝판왕! sg워너비 신곡 넌 좋은 사람 좋으니까 많이 들어주세요
161,  우리,용가릿 구독 가즈아!
162,  레이첼,용가리 너무 감미로움
163,  짱짱짱,유튜브 채널 개설 했으니 골프 덜치겠죠 용가릿 구독 가즈아
164,  돌체콜드브루,용리다 흥하자!!
165,  먹구름,진호형은 병원에 아픈사람들 이나 학교졸업식때 찾아가서 힘내라고 노래 불러주는 착한사람입니다 ㅠㅠㅠㅠ
166,  김정순,우리의 노래  참 노랫말들이 너무 아름다워요^^
167,  박시골,김용준 목소리 어떻게 하냐..ㅡ어쩜 저리도 절절하고 아름다운지... 몰랐네...나 김용준 좋아했네...
168,  돌체콜드브루,목소리 듣고 있으면 전율이 와요~ 진짜 예전 앨범에서도 파트 많지 않은데 용준님 목소리만 나오면 귀기울이게 되고~~ 벌써 몇 개월째 일상 생활이 힘들어요.. 용준님때매
169,  yujin love,오늘도 출첵합니다 더워서 짜증날 때 세 분의 음악을 들으며 힐링합니다. 서로 아끼고 행복해하는 모습이 보여 저까지 행복바이러스가 전해오는 느낌이예요 오래 음악해주세요 ..
170,  너무이뻐,수면제로 비몽사몽 깨서 아직졸린데  듣고있다  그리구 살아가고싶은이유가 조금이나마 생겼다 언제부터인가지나간 추억은 추억으로 남지   다시는 못볼꺼같았는데이렇게 워너비무대를 유튜브로 볼줄이야 나중에 콘서트 열리면 다시가고싶다  마지막 2017년에 가서본게마지막이었으니
171,  정아 이,신곡도 너무 좋고.. 역시 sg 워너비네요~
172,  #여니Yeony,이석훈 김용준 김진호 이 세 분은 진짜 신이 내린 환상의 그룹이네요♡.♡ 아침부터 기분이 좋아졌어요 21:24분동안오직 편안함과 행복으로 가득차서 아무런 생각이 안 났던♡.♡
173,  구독계,내나이 3n 어른들이 옛날을 추억하고 회상하면서 살아가는게 머리론 이해되도 가슴으론 이해가 잘 안됐는데 이번 놀뭐에 sg워너비 나오고 그때 그시절 감성의 노래들 유행하고 그 시절을 그리워하고 내 세대 사람들이 열광하고 길거리에 온통 sg워너비 노래 나오는거 보면서 그때를 추억할수 있게 만들어준게 너무 감사하고 좋았다ㅠㅠ진짜 질리지가 않는다
174,  정성민,이정도면 국가적인 트리오다
175,  아기엄마,여러분~ 용주니 유튜브 개설 했으니 널렁 가셔서 보셔요~채널명: 용가릿
176,  곰발바닥,난 아리랑에서 용준님이 난나나나나나나나나난나나~할 때가 좋드라~
177,  유수지,아리랑 나나나하고 내사람 나나나는 용리더 특허 내야함 대체불가
178,  Claire Dunfy,Killing Point
179,  조혜경,김용준 목소리 이렇게 좋다니.... 이렇게 노래 잘하다니....
180,  정수진,정말 넘 좋아요~  저 미성에  치여서 헤어나질 못해요~ㅠㅠ
181,  나광진,Sg워너비 진짜 행복해 보여서 좋다
182,  움그리,용준씨 잘생긴 얼굴을 누가 저렇게 망가뜨린거야  미친거아냐? 본모습이 너무멋진걸 왜저렇게 이상하게 화장을 해놓은거야
183,  행복가득,그러게 말이예요. 너무해 ㅜㅜ
184,  ㅇ_ㅇ,눈주변 다크서클가린다고 저래한거같음 ㅋㅋ
185,  동그래미어워드1등임떼아,망가뜨렸다니ㅋㅋㅋㅋㅋ큐ㅠ큐ㅠㅠㅠㅠㅠㅠ난 예쁘다고 생각했는데..
186,  HJ Jun,너무 이상해요.
187,  쇳소리를 들으면 짖는 개,난 화장진한것도 발리는데..
188,  이경은,나도 저것도 괜찮다고 생각했는데 다들 얼굴 망가뜨렸다고 해서 말 못하고 있었는데..저 같이 생각하는 분들도 있었네요~ㅎ
189,  권혜영,Sg워너비를 좋아하는 사람들에게는 이번 공연 최고의 선물 입니다.
190,  블링크,ㅇㅈㅇㅈ
191,  Nomalone Kim,무대 위에서 너무나 행복해 보인다... 이런 게 진짜 가수지...
192,  옥돌,그래서 더 사랑스럽고 우리가 힘을 얻어가나봐요
193,  김삿갓,난 다 좋지만 유독 용준이가 맘에 든다 ㅎ보이스칼라가 넘 좋다
194,  졸리다,진짜 행복하다 ㅠㅠ컴백 많이 해주세요
195,  이경옥,엠비씨에서 SG워너비 단독 콘서트 가즈아
196,  jongk kim,"국뽕, 감동,공감,기쁨,환희,위로노래가 줄수있는 감각이란 감각은 다 주는듯..콘서트를 넘어 올림픽수준.."
197,  레이첼,👍👍👍👍👍👍👍👍👍
198,  Y,암뇨!
199,  YB L,대박 처음부터 끝까자 다 보니까 100퍼 공감이네요
200,  Zel Claveria,아 어떻게 ㅠㅠ 너무 좋아 ㅠㅠㅠㅠ 옛날 가요 느낌이 진짜 달라 ㅠㅠㅠ sg워너비 ㅅㄹㅎ
201,  행복가득,댓글 보시는분들 용준님이 용가릿 라는 유드브 채널을 만들었어요. 구독 좋아요  부탁드립니다.
202,  우리,홍보 고 홍보 고!!!
203,  정깨비,당근알져. 바로구독...삶의.낙이 생겼네요
204,  이슬비,용준오빠 목소리 들으면서 출근준비 끝 듣고 들어도 들을수록 듣고싶은 목소리
205,  김정순,SG 노래 아리랑 넘 좋아요.신곳도 정말 짱 짱 입니다^^
206,  S2 Sp02,김용준은 왜 아무말없어ㅜㅜ 김용준 좋아하는 사람 없냐 너무 잘생기고 골프잘치고 노래잘하는대ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
207,  행복가득,왜 없어요. 이리 많은데~ 노래 정말 잘하고 👍
208,  버디랑이글이랑,요기 있어요🖐🖐🖐🖐🖐🖐
209,  짱짱짱,댓글 둘러 보니까 많은데요? 저도 김용준 좋아요
210,  정소영,김용준 최고~♡
211,  kyung kim,저도 있어요. 용준님은 사랑이죠^^
212,  이경은,저도요.. 근데 전 애가 둘이라...ㅠㅜㅎㅎ
213,  민우,김용준 댓글 ㅈㄴ 많은데 ㅋㅋ
214,  C helen,용준 항상 응원해요
215,  김고기쟁이,용준 짱💖💖
216,  Shin,죄다 김용준가수님 말뿐이라 다른분들 섭할정도인데요 형님…?
217,  러블리,용리다 컨펌 담당이라면서요 죄와벌 컨펌 해주세요 죄와벌 요즘버전으로 듣고 싶다구요 놀뭐 2번 나왔는데 죄와벌을 안부르다니ㅠ 용가릿 유튜브 개설 하셨으니 유튜브에라도 올려주세요 죄와벌
218,  박성우,일단 우리 전통을 살린 무대 자체가 사랑스럽다근데 진호처럼 즐기며 노래하는 사람 봤냐..??.팬인데 더 팬됨...
219,  HJ,신곡 '넌 좋은사람'도 많이 들어주세요.🙇‍♀️
220,  쿠키,진짜 저 세명이 사건사고 없이 여기까지 온게 진짜 레전드.. 앞으로 꽃길만 걸으시길 바랍니다 ❤❤❤❤❤
221,  늑냥이솜털,김용준님은 사건이좀 ..있긴했죠
222,  내눈엔 용준만 보여,"용리더, 이제 가마니 하지 마요. 이케 잘생기고 목소리 좋은데..."
223,  ddan_e Kim,너무 행복하다 진짜 ㅠ.ㅠ
224,  화이팅,김용준 메컵 담당은 에러지만 맑고 깨끗한 목소리에 메컵 생각도 안나고 목소리에만 집중했어요~~너무 이쁜 음색의 미성
225,  rim A,용준님 한층 더 성숙해진 음성으로 돌아오셨네요.들으며 눈물나요..감성 간지 폭발ㅜㅜ
226,  김민철,이것도 천만 가겠다ㅠㅜ
227,  행복가득,용준님 목소리는 언제나 👍
228,  E M,"역시 SG워너비👍👍👍  저를 행복하게 해주신 넘 멋진무대 감사드려요.  유재석씨, 의상 최고예요!!"
229,  송혜련,전성기때 콘서트  가서 진호씨 쩌렁쩌렁한 목소리에 심장 떨리던 기억나네요!코로나 끝나면 십여년만에 현장에서  다시 들어보고 싶네요~클라스가 다른 가수♡
230,  Anna,감사합니다♡사랑해요 SG워너비♡
231,  윤짱맨,아리랑 진짜ㅋㅋㅋㅋ 아놔 개소름
