,아이디,댓글 내용
197,  𓃠율𓃠,주단태 불쌍해…금 다 뺏기고 나서 천서진한테 잔소리 들을때 진짜 찐으로 불쌍함 ㅜㅜ
198,  김민기,주단태 맞고 기절한것도 사이다였지만 로나가 천서진 팔 비튼게 더 사이다였음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
199,  지아최,0:56 ㅇㄴ 이민혁 얘는 왜 자꾸 친한척이야
200,  ᄋᄋᄋ,사회생활은 민혁이처럼
201,  s급 존버 고수,ㅁㅊㅋㅋ  그니까 옆에 왜 있냨 ㅋㅋ
202,  「BLINK 」,"이민혁 얘 강마리, 오윤희, 심수련과 로건리가 자기부모 파멸시키려는거 보면 배로나랑 유제니랑 못다닐텐데"
203,  김현우,야까불지말아
204,  민호수,진짜 갑자기 로나와 치킨 먹는 민혁이 보고 뭔가 했네요ㅎ
205,  이윤주,뭔가 저렇게 편한거보니깐 사과하고 친해진것같은데 이민혁이 로나 제니 둘다 괴롭혀서 보기 좀 껄끄러움
206,  Jihoon Huh,그냥 분량 없어서 끼워주는거지 뭐
207,  크림,아 민혁아...ㅈㅂ 그만 떠들고 제니처럼 맥주나 마시렴...그러고 규지니한테 또 나 규지니 아들이다!!! 이러면서 행동으로 보여주렴
208,  릴루루RILULU,맨날 당하기만 했단 우리 로나가.. 천서진 팔 꺽을때심수련이 주단태 무릎 꿀려놓고 니킥갈길때 세상 통쾌..
209,  peter ryu,로나한테서 오윤희가 보이기 시작했다
210,  엠버YouTube,강마리가 존경하는 저할머니 뭔가 주단태가 또 죽일려고 할것같음..
211,  ᄋᄋᄋ,차라리 어머 천서진 이사장이 오디션을 못보게해서요 라고 말하는게 더 낫지않나? 그게더 사이다일듯
212,  j,못 보게 했다는 확실한 물증이 없으니깐 그렇게 말 했다가 오히려 역관광 당할 수도 있었음
213,  오이,ㄴㄴ 그렇게 나오면 천서진 쪽에서 어찌저찌 말 잘 해서 배로나만 다시 당함
214,  크림,와 심수련이 주단태 패는거 보니까 하루치 스트레스가 날아가는것 같아...학원때문에 스트레스 많이 받았었는데...+ 12:07
215,  다꾸..❤,단탱이 이르케 약해 보이는 거 처음이야 배로나도 이르케 강해보이는 거 오랜만이고
216,  Siu,13:40 심니킥 존멋ㅋㅋㅋㅋㅋㅋㅋ단수 액션 사랑합니다
217,  우리곰돌이가왓어욧,그것도 그렇고 맞는 소리가 너무 리얼하다ㅋㅋㅋㅋ더웃기넼ㅋㅋㅋㅋ
218,  freedom freedom,주단테 대놓고 초조해 하는거 들어내는건 처음이넼ㅋㅋㅋ
219,  걸그룹월드🏞,그냥 수련이랑로나 너무 고맙다 지금까지 참아줘서
